date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:33:46	172616/172616	---M--	200	added ('OK')	image/png	etag:%222a248-57ba2caa0af80%22	https://www.sih.gov.in/uploads/logo/20181127154957.png	D:/My_Web%20Sites/SIH/www.sih.gov.in/uploads/logo/20181127154957.png	(from https://www.sih.gov.in/sih2019ProblemStatements?page=3)
17:33:47	48037/48037	---M--	200	added ('OK')	image/png	etag:%22bba5-57ed8c8e05f34%22	https://www.sih.gov.in/uploads/logo/20190107123031.png	D:/My_Web%20Sites/SIH/www.sih.gov.in/uploads/logo/20190107123031.png	(from https://www.sih.gov.in/sih2019ProblemStatements?page=3)
17:33:48	118601/118601	---M--	200	added ('OK')	image/png	etag:%221cf49-57a87fe77f000%22	https://www.sih.gov.in/uploads/logo/20181113142631.png	D:/My_Web%20Sites/SIH/www.sih.gov.in/uploads/logo/20181113142631.png	(from https://www.sih.gov.in/sih2019ProblemStatements?page=3)
17:33:48	12790/12790	---M--	200	added ('OK')	image/png	etag:%2231f6-57bb27ef60200%22	https://www.sih.gov.in/uploads/logo/20181128103407.png	D:/My_Web%20Sites/SIH/www.sih.gov.in/uploads/logo/20181128103407.png	(from https://www.sih.gov.in/sih2019ProblemStatements?page=4)
17:33:49	11474/11474	---M--	200	added ('OK')	image/png	etag:%222cd2-57bcd47488380%22	https://www.sih.gov.in/uploads/logo/20181129183117.png	D:/My_Web%20Sites/SIH/www.sih.gov.in/uploads/logo/20181129183117.png	(from https://www.sih.gov.in/sih2019ProblemStatements?page=4)
17:33:49	2253259/2253259	---M--	200	added ('OK')	application/pdf	etag:%222261cb-57fa6e4d4c000%22	https://www.sih.gov.in/letters/SIH_17_01_2019%20Workshop%20PPT.pdf	D:/My_Web%20Sites/SIH/www.sih.gov.in/letters/SIH_17_01_2019%20Workshop%20PPT.pdf	(from https://www.sih.gov.in/faqs)
17:33:50	9914/9914	---M--	200	added ('OK')	image/jpeg	etag:%2226ba-57d4fce88d5ac%22	https://www.sih.gov.in/uploads/logo/20181218234004.jpg	D:/My_Web%20Sites/SIH/www.sih.gov.in/uploads/logo/20181218234004.jpg	(from https://www.sih.gov.in/sih2019ProblemStatements?page=5)
17:33:51	48235/48235	---M--	200	added ('OK')	image/png	etag:%22bc6b-57f784d6bad04%22	https://www.sih.gov.in/uploads/logo/20190115104915.png	D:/My_Web%20Sites/SIH/www.sih.gov.in/uploads/logo/20190115104915.png	(from https://www.sih.gov.in/sih2019ProblemStatements?page=6)
17:33:51	8528/8528	---M--	200	added ('OK')	image/jpeg	etag:%222150-57ba24db24380%22	https://www.sih.gov.in/uploads/logo/20181127151501.jpg	D:/My_Web%20Sites/SIH/www.sih.gov.in/uploads/logo/20181127151501.jpg	(from https://www.sih.gov.in/sih2019ProblemStatements?page=6)
17:33:52	14515/14515	---M--	200	added ('OK')	image/png	etag:%2238b3-57ce69ba2b70c%22	https://www.sih.gov.in/uploads/logo/20181213180939.png	D:/My_Web%20Sites/SIH/www.sih.gov.in/uploads/logo/20181213180939.png	(from https://www.sih.gov.in/sih2019ProblemStatements?page=6)
17:33:53	179884/179884	---M--	200	added ('OK')	image/jpeg	etag:%222beac-57bb2b30e3080%22	https://www.sih.gov.in/uploads/logo/20181128104841.jpg	D:/My_Web%20Sites/SIH/www.sih.gov.in/uploads/logo/20181128104841.jpg	(from https://www.sih.gov.in/sih2019ProblemStatements?page=7)
17:33:54	279666/279666	---M--	200	added ('OK')	image/jpeg	etag:%2244472-57bb3e15ec480%22	https://www.sih.gov.in/uploads/logo/20181128121314.jpg	D:/My_Web%20Sites/SIH/www.sih.gov.in/uploads/logo/20181128121314.jpg	(from https://www.sih.gov.in/sih2019ProblemStatements?page=7)
17:33:54	571610/571610	---M--	200	added ('OK')	image/png	etag:%228b8da-57bb72e71e100%22	https://www.sih.gov.in/uploads/logo/20181128160930.png	D:/My_Web%20Sites/SIH/www.sih.gov.in/uploads/logo/20181128160930.png	(from https://www.sih.gov.in/sih2019ProblemStatements?page=7)
17:33:54	149808/149808	---MC-	200	added ('OK')	text/html	date:Tue,%2022%20Jan%202019%2017:33:43%20GMT	https://www.sih.gov.in/sih2019ProblemStatements?page=9	D:/My_Web%20Sites/SIH/www.sih.gov.in/sih2019ProblemStatements0b08.html	(from https://www.sih.gov.in/sih2019ProblemStatements?page=7)
17:33:55	8040/8040	---M--	200	added ('OK')	image/jpeg	etag:%221f68-57bc499d17200%22	https://www.sih.gov.in/uploads/logo/20181129081006.jpg	D:/My_Web%20Sites/SIH/www.sih.gov.in/uploads/logo/20181129081006.jpg	(from https://www.sih.gov.in/sih2019ProblemStatements?page=8)
17:33:55	146114/146114	---MC-	200	added ('OK')	text/html	date:Tue,%2022%20Jan%202019%2017:33:44%20GMT	https://www.sih.gov.in/sih2019ProblemStatements?page=10	D:/My_Web%20Sites/SIH/www.sih.gov.in/sih2019ProblemStatements1448.html	(from https://www.sih.gov.in/sih2019ProblemStatements?page=7)
17:33:56	7261/7261	---M--	200	added ('OK')	image/png	etag:%221c5d-57b17c7e9b600%22	https://www.sih.gov.in/uploads/logo/20181120175911.png	D:/My_Web%20Sites/SIH/www.sih.gov.in/uploads/logo/20181120175911.png	(from https://www.sih.gov.in/sih2019ProblemStatements?page=8)
17:33:58	53913/53913	---M--	200	added ('OK')	image/jpeg	etag:%22d299-57cbe90dbaa04%22	https://www.sih.gov.in/uploads/logo/20181211182319.JPG	D:/My_Web%20Sites/SIH/www.sih.gov.in/uploads/logo/20181211182319.jpg	(from https://www.sih.gov.in/sih2019ProblemStatements?page=50)
17:33:58	146192/146192	---MC-	200	added ('OK')	text/html	date:Tue,%2022%20Jan%202019%2017:33:46%20GMT	https://www.sih.gov.in/sih2019ProblemStatements?page=11	D:/My_Web%20Sites/SIH/www.sih.gov.in/sih2019ProblemStatements1c8b.html	(from https://www.sih.gov.in/sih2019ProblemStatements?page=8)
17:33:58	53913/53913	---M--	200	added ('OK')	image/jpeg	etag:%22d299-57cbe8bc2b3b4%22	https://www.sih.gov.in/uploads/logo/20181211182153.JPG	D:/My_Web%20Sites/SIH/www.sih.gov.in/uploads/logo/20181211182153.jpg	(from https://www.sih.gov.in/sih2019ProblemStatements?page=50)
17:33:59	53913/53913	---M--	200	added ('OK')	image/jpeg	etag:%22d299-57cbe8ef78884%22	https://www.sih.gov.in/uploads/logo/20181211182247.JPG	D:/My_Web%20Sites/SIH/www.sih.gov.in/uploads/logo/20181211182247.jpg	(from https://www.sih.gov.in/sih2019ProblemStatements?page=50)
17:33:59	53913/53913	---M--	200	added ('OK')	image/jpeg	etag:%22d299-57cbe8476b0c4%22	https://www.sih.gov.in/uploads/logo/20181211181951.JPG	D:/My_Web%20Sites/SIH/www.sih.gov.in/uploads/logo/20181211181951.jpg	(from https://www.sih.gov.in/sih2019ProblemStatements?page=50)
17:34:01	145676/145676	---MC-	200	added ('OK')	text/html	date:Tue,%2022%20Jan%202019%2017:33:50%20GMT	https://www.sih.gov.in/sih2019ProblemStatements?page=43	D:/My_Web%20Sites/SIH/www.sih.gov.in/sih2019ProblemStatements324e.html	(from https://www.sih.gov.in/sih2019ProblemStatements?page=50)
